ICB_CODE,Month,GP_Appointments,Required_GP_FTE,Num_Sub_ICBs
E54000061,2026-04,350126.9680576375,666.9085105859763,4
E54000061,2026-05,347399.9789806955,661.7142456775151,4
E54000061,2026-06,343156.47794268484,653.6313865574948,4
E54000061,2026-07,376563.7438075169,717.2642739190798,4
E54000061,2026-08,325456.0496754971,619.916285096185,4
E54000061,2026-09,363282.3049624351,691.966295166543,4
E54000061,2026-10,442867.4248183072,843.5569996539185,4
E54000061,2026-11,364123.20265735965,693.5680050616375,4
E54000061,2026-12,334516.28010894044,637.1738668741722,4
E54000061,2027-01,384482.35302268894,732.347339090836,4
E54000062,2026-02,288269.92458436236,549.0855706368807,1
E54000062,2026-03,288954.04062350333,550.388648806673,1
E54000062,2026-04,286010.5810467576,544.7820591366811,1
E54000062,2026-05,283507.43770302756,540.0141670533858,1
E54000062,2026-06,287311.25747795554,547.2595380532487,1
E54000062,2026-07,305706.0479773534,582.2972342425779,1
E54000062,2026-08,271327.0975454129,516.8135191341198,1
E54000062,2026-09,304520.67351537547,580.0393781245247,1
E54000062,2026-10,365806.950786472,696.7751443551848,1
E54000062,2026-11,307668.1856605981,586.0346393535202,1
E54000062,2026-12,279787.1601133771,532.9279240254801,1
E54000062,2027-01,321638.55198787106,612.6448609292783,1
